,Lane,Name,Group,SubGroup,Color_code,SubGroups
0,0,,,,#ff0000,
1,1,marker,,,#ff3c00,
2,2,pool,,,#ff7700,
3,3,脱PTC,,,#ffb300,
4,4,PTC,,,#ffea00,
5,5,Eff. I,,,#d9ff00,
6,6,wash 2-1,,,#9dff00,
7,7,AT-III,,,#62ff00,
8,8,Hapto collect,,,#26ff00,
9,9,Filt. II+III,,,#00ff15,
10,10,Filt. IV,,,#00ff4c,
11,11,Filt. V,,,#00ff88,
12,12,commercial C1q,,,#00ffc3,
13,13,,,,#00ffff,
14,14,,,,#00c3ff,
15,15,,,,#0088ff,
16,16,marker,,,#004cff,
17,17,脱Cryo,,,#0015ff,
18,18,Eff. I,,,#2600ff,
19,19,Filt. II+III,,,#6200ff,
20,20,Filt. V,,,#9d00ff,
21,21,Fr. I paste,,,#d900ff,
22,22,Fr. II+III paste,,,#ff00ea,
23,23,Fr. V paste,,,#ff00b3,
24,24,commercial C1q,,,#ff0077,
25,25,,,,#ff003c,
